symbol,ok,bars,days,first,last
NSE:MIDCPNIFTY26SEP14400CE,True,2658,7.0,2026-08-25 10:39:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14400PE,True,2252,5.0,2026-09-02 09:19:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14425CE,True,1495,3.0,2026-09-02 09:18:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14425PE,False,0,,,
NSE:MIDCPNIFTY26SEP14450CE,True,1827,4.0,2026-09-02 09:18:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14450PE,False,0,,,
NSE:MIDCPNIFTY26SEP14475CE,True,1494,3.0,2026-09-02 09:20:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14475PE,False,0,,,
NSE:MIDCPNIFTY26SEP14500CE,True,6720,19.0,2026-08-10 11:48:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14500PE,True,10146,27.0,2026-08-03 09:50:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14525CE,True,1795,5.0,2026-09-01 14:06:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14525PE,True,2182,5.0,2026-09-02 09:22:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14550CE,True,2516,7.0,2026-08-31 10:36:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14550PE,True,2244,5.0,2026-09-02 09:22:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14575CE,True,2552,7.0,2026-08-31 10:10:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14575PE,True,2241,5.0,2026-09-02 09:21:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14600CE,True,4028,10.0,2026-08-25 10:43:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14600PE,True,5046,13.0,2026-08-21 12:41:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14625CE,True,2903,7.0,2026-08-27 10:33:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14625PE,True,2249,5.0,2026-09-02 09:21:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14650CE,True,2923,7.0,2026-08-27 10:25:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14650PE,True,2253,5.0,2026-09-02 09:17:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14675CE,True,2977,7.0,2026-08-27 09:21:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14675PE,True,2247,5.0,2026-09-02 09:16:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14700CE,True,4527,12.0,2026-08-24 13:53:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14700PE,True,4134,10.0,2026-08-26 09:16:00,2026-09-08 15:30:00
